,id,county,median_income,temp,total_population,elev_in_ft,employed_population_over16,18_24_college_grad_enroll,median_gross_rent_dollars,employed,unemployed,percent_insured,mean_hours_worked,median_age_workers_16_to_64,mean_travel_time_to_work_min,perc_pop_25plus_bach_or_higher,perc_k_12_enrollment,label
18,0500000US01037,"Coosa County, Alabama",31212,73.0,10387,640.9839817000002,4202,84,589,3856,90,92.0,40.1,43.0,28.8,12.8,87.2,42
19,0500000US01039,"Covington County, Alabama",36444,76.3,37570,271.8495935,14822,652,612,13559,1206,88.9,40.3,41.5,25.0,15.3,79.7,78
20,0500000US01041,"Crenshaw County, Alabama",36022,75.1,13194,370.7537155,5668,318,537,5239,188,91.3,39.3,41.1,29.9,17.4,80.8,78
21,0500000US01043,"Cullman County, Alabama",38971,71.6,87866,768.6030205,34228,1874,706,31844,1444,88.9,39.4,40.5,26.5,13.9,78.4,56
22,0500000US01045,"Dale County, Alabama",45028,75.7,49326,329.5437063,17994,983,730,16515,1290,88.4,39.8,37.9,21.6,18.1,73.2,49
23,0500000US01047,"Dallas County, Alabama",27306,75.8,38462,181.4459135,14347,1094,643,12950,1736,88.9,40.3,39.9,23.8,14.7,72.3,3
24,0500000US01051,"Elmore County, Alabama",53555,74.4,87977,351.1840943,34180,1531,892,31893,1435,92.6,40.8,40.0,26.8,25.1,75.0,128
25,0500000US01053,"Escambia County, Alabama",32330,76.4,36757,190.9955157,12786,677,616,11693,1520,85.8,39.2,41.2,22.2,12.5,81.1,148
26,0500000US01055,"Etowah County, Alabama",39220,71.9,103436,689.7514231,42650,2887,669,39012,2218,89.4,39.5,40.1,24.0,17.8,74.4,56
27,0500000US01057,"Fayette County, Alabama",34680,72.7,16321,468.90328150000005,6337,439,527,5769,401,92.4,39.1,41.3,29.8,12.4,72.4,149
28,0500000US01059,"Franklin County, Alabama",35372,71.6,32113,729.4404893999998,12840,827,581,11948,549,88.3,39.1,40.1,28.8,14.0,79.1,147
29,0500000US01061,"Geneva County, Alabama",36024,76.5,26659,188.8482293,10294,502,625,9555,553,87.4,40.4,41.8,27.8,12.5,78.2,148
30,0500000US01063,"Greene County, Alabama",20541,74.1,7730,155.7990196,2396,137,612,2221,311,87.2,38.3,39.3,35.2,10.1,80.2,187
31,0500000US01065,"Hale County, Alabama",32714,74.0,14785,198.7388724,5355,356,577,4949,585,90.5,38.6,41.1,31.6,14.2,69.7,21
32,0500000US01067,"Henry County, Alabama",41997,75.5,17146,333.100271,6920,354,627,6210,363,90.2,40.0,42.9,28.0,17.1,75.3,185
33,0500000US01069,"Houston County, Alabama",41571,76.5,107202,252.5236407,44374,2512,754,40394,2755,89.5,38.9,40.8,21.2,21.7,73.9,185
34,0500000US01071,"Jackson County, Alabama",37745,70.1,52579,924.3550032,20352,764,590,18371,991,90.5,38.6,42.5,26.4,14.0,81.9,130
35,0500000US01073,"Jefferson County, Alabama",45610,73.0,674721,601.0097316,304994,24833,900,280694,18801,90.8,39.4,38.9,24.3,33.4,66.2,123
36,0500000US01075,"Lamar County, Alabama",35450,73.4,13972,388.661435,5244,271,425,4857,417,89.4,40.4,44.0,27.8,11.9,80.7,149
37,0500000US01077,"Lauderdale County, Alabama",43125,72.0,93564,590.1318507,40287,5831,663,37117,1727,91.0,38.3,38.6,24.3,23.5,60.8,192
38,0500000US01079,"Lawrence County, Alabama",40003,71.3,33073,664.9627263,12445,850,551,11618,592,90.9,39.3,41.0,29.5,12.6,77.3,130
39,0500000US01081,"Lee County, Alabama",44570,72.7,174241,631.4052558999998,74770,21432,856,69931,3612,92.2,37.2,35.1,23.1,35.3,43.7,171
40,0500000US01083,"Limestone County, Alabama",49570,71.1,103570,683.9205366,40510,2359,691,37810,2443,90.4,38.9,40.9,27.0,25.7,73.7,169
41,0500000US01085,"Lowndes County, Alabama",25876,75.9,10311,267.6075949,3430,166,586,3131,318,91.2,38.5,39.2,31.5,14.7,75.2,3
42,0500000US01087,"Macon County, Alabama",30738,73.9,19532,361.1281513,7064,2572,641,6439,854,92.5,35.1,35.3,24.0,20.4,40.1,159
43,0500000US01089,"Madison County, Alabama",57993,71.0,388153,737.6597714,176910,18460,857,163341,8191,91.7,38.6,40.2,21.5,42.8,61.7,146
44,0500000US01091,"Marengo County, Alabama",32042,74.9,19323,172.0400616,6778,392,563,6285,562,91.2,39.5,42.8,24.4,16.1,81.0,159
45,0500000US01093,"Marion County, Alabama",32299,71.9,29341,635.6244204,11851,643,512,11067,569,91.3,39.5,43.3,24.4,12.8,78.3,42
46,0500000US01095,"Marshall County, Alabama",38983,71.4,97612,845.0809524,39193,2231,649,36166,1591,87.7,39.2,40.2,24.6,19.4,77.2,56
47,0500000US01097,"Mobile County, Alabama",43809,76.7,414809,83.6652921,174519,13728,853,161863,9751,88.8,38.9,39.7,25.0,23.2,70.9,110
48,0500000US01099,"Monroe County, Alabama",27257,76.2,19772,256.5086614,6423,373,582,5861,1096,88.6,39.3,40.8,24.8,13.5,83.1,3
49,0500000US01101,"Montgomery County, Alabama",44369,75.1,228954,257.61436380000004,101013,9404,884,92576,6243,90.0,38.6,38.5,20.7,33.4,66.0,110
50,0500000US01103,"Morgan County, Alabama",45751,71.4,123421,693.4425287,51903,2854,658,48134,2535,90.4,38.8,40.9,23.1,22.4,76.2,169
51,0500000US01105,"Perry County, Alabama",24537,74.4,8511,282.39444439999994,2571,813,507,2365,276,90.7,35.8,38.2,25.7,22.8,60.2,187
52,0500000US01107,"Pickens County, Alabama",30330,73.7,19123,257.7819767,7017,343,457,6682,756,90.9,38.9,39.8,33.2,14.1,76.1,159
53,0500000US01109,"Pike County, Alabama",32825,74.6,33009,441.6422156,13992,5426,669,12820,846,90.3,36.9,34.4,20.3,23.7,40.3,21
54,0500000US01111,"Randolph County, Alabama",36924,71.3,21967,934.5827703,8764,763,620,8079,365,90.9,40.0,42.4,27.9,16.5,76.3,56
55,0500000US01113,"Russell County, Alabama",37049,73.7,59183,338.27941180000005,23616,1109,803,21834,1473,88.5,39.0,39.2,24.8,17.8,68.1,149
56,0500000US01117,"Shelby County, Alabama",70187,73.1,223024,532.5704641,106839,7563,1047,98109,3294,93.8,39.6,41.1,28.9,42.9,69.4,5
57,0500000US01119,"Sumter County, Alabama",19501,74.4,12345,172.3727399,4291,1465,518,3946,420,87.5,34.8,35.8,26.0,21.6,47.2,187
58,0500000US01121,"Talladega County, Alabama",35155,72.9,82149,577.5787037,31166,2101,628,28993,2323,90.7,40.2,40.4,24.6,15.0,74.9,149
59,0500000US01123,"Tallapoosa County, Alabama",39206,72.5,41311,647.1246154,15119,889,665,13921,1414,91.8,40.5,42.0,28.0,18.4,72.4,56
60,0500000US01125,"Tuscaloosa County, Alabama",46565,73.4,227036,299.6422101,93667,21494,846,87186,4805,92.8,37.4,35.4,22.8,30.7,50.2,110
61,0500000US01127,"Walker County, Alabama",35843,72.4,65342,435.97692310000014,24414,1602,626,22660,2008,88.2,39.4,40.1,28.4,11.3,76.4,149
62,0500000US01129,"Washington County, Alabama",42811,75.6,15388,129.35686270000002,5582,386,730,5238,391,90.6,41.1,41.1,33.4,12.7,80.0,185
63,0500000US01131,"Wilcox County, Alabama",23750,75.9,10600,173.7063622,2995,246,509,2762,489,89.1,37.9,41.0,27.1,12.5,81.1,187
64,0500000US01133,"Winston County, Alabama",33194,71.0,23540,745.001261,9120,513,529,8199,666,87.7,38.8,40.5,31.4,12.8,79.2,147
65,0500000US02013,"Aleutians East Borough, Alaska",61518,47.5,3420,265.8044199,2306,14,939,2131,93,53.7,59.5,43.4,5.2,11.5,76.9,86
66,0500000US02060,"Bristol Bay Borough, Alaska",79750,43.7,844,46.94285714,468,6,1120,429,46,79.5,47.7,45.3,8.2,22.5,83.0,157
67,0500000US02090,"Fairbanks North Star Borough, Alaska",71068,39.2,95655,893.3684211000002,45538,3689,1305,41867,2799,90.2,41.6,34.8,19.1,31.4,60.6,16
68,0500000US02100,"Haines Borough, Alaska",58750,43.6,2080,1627.888476,1181,0,951,981,56,86.6,44.5,43.9,8.6,33.8,79.5,135
69,0500000US02122,"Kenai Peninsula Borough, Alaska",63684,40.8,58799,720.2260782999998,25314,998,987,22901,1704,84.0,41.9,42.1,19.8,24.6,75.5,16
70,0500000US02130,"Ketchikan Gateway Borough, Alaska",64222,48.4,13948,-626.9504405,7116,143,1169,6479,416,88.6,41.6,40.9,14.2,25.3,74.6,86
71,0500000US02150,"Kodiak Island Borough, Alaska",70887,45.3,13101,261.55518390000003,6680,183,1458,6178,370,82.8,42.8,38.7,11.3,28.0,71.1,157
72,0500000US02164,"Lake and Peninsula Borough, Alaska",50781,43.2,1476,604.6168675,653,6,743,613,117,66.6,42.4,39.2,5.8,16.1,85.1,135
73,0500000US02170,"Matanuska-Susitna Borough, Alaska",72983,37.9,107081,1503.534411,43782,1787,1127,40638,3908,85.2,41.1,39.5,34.9,21.6,77.9,16
74,0500000US02185,"North Slope Borough, Alaska",72576,32.2,11031,1074.859781,5404,97,1000,5125,473,81.4,60.7,42.1,6.1,16.5,81.8,16
75,0500000US02188,"Northwest Arctic Borough, Alaska",63648,36.8,7793,546.2221181,2619,63,1304,2455,558,74.3,42.9,38.3,5.8,13.2,84.0,16
76,0500000US04001,"Apache County, Arizona",31757,65.2,66021,7288.956646,18400,1784,506,17003,2103,74.9,38.4,41.8,26.9,12.3,78.9,126
77,0500000US04003,"Cochise County, Arizona",45075,72.3,125447,5037.492588,43760,2031,783,39424,2575,92.2,38.8,39.5,20.7,23.1,72.2,125
78,0500000US04005,"Coconino County, Arizona",50234,68.3,145101,6306.798914,66820,20361,1181,61384,4458,88.8,36.5,33.5,18.6,36.2,43.5,144
79,0500000US04007,"Gila County, Arizona",39751,73.1,53272,4451.541812,18695,637,816,16566,1672,90.0,38.5,44.0,20.4,18.7,78.1,177
80,0500000US04009,"Graham County, Arizona",45964,73.4,38533,4525.688318,13104,1270,769,11858,1097,93.1,37.6,37.7,21.7,15.2,72.6,125
81,0500000US04011,"Greenlee County, Arizona",51628,69.0,9563,5706.597949,3870,114,466,3673,147,95.4,41.1,38.7,17.7,13.5,83.9,144
82,0500000US04012,"La Paz County, Arizona",34466,86.7,16557,1332.179217,6160,250,565,5404,543,85.3,39.8,40.5,14.7,12.0,81.6,186
83,0500000US04013,"Maricopa County, Arizona",54229,84.7,4420568,1518.520579,2068218,152885,1127,1916250,92749,89.4,38.9,39.0,26.4,32.7,69.1,151
84,0500000US04015,"Mohave County, Arizona",38488,77.8,213267,3458.512686,72932,2779,826,65119,5454,91.1,38.2,40.9,21.0,12.9,76.7,50
85,0500000US04017,"Navajo County, Arizona",35921,67.3,106717,6131.229893,33415,1300,720,30491,4333,86.8,37.7,41.5,21.3,15.3,81.7,121
86,0500000US04019,"Pima County, Arizona",46162,80.5,1043433,3167.839856,446383,54611,907,408642,28586,90.8,37.6,38.1,24.9,32.4,61.4,109
87,0500000US04021,"Pinal County, Arizona",49477,81.9,425264,2568.089785,157798,8035,1064,144553,10086,91.2,39.1,39.4,31.8,19.5,75.7,105
88,0500000US04023,"Santa Cruz County, Arizona",40140,71.7,47669,4553.932692,17163,1309,675,15732,1226,89.8,38.5,40.6,24.0,20.4,78.4,177
89,0500000US04025,"Yavapai County, Arizona",44748,73.5,236209,4622.667746,88037,6861,947,76983,4551,90.2,37.2,43.9,23.4,25.9,63.9,125
90,0500000US04027,"Yuma County, Arizona",40743,87.7,203881,705.2193347,75903,6646,839,71358,7592,87.3,40.1,36.6,20.5,15.0,72.1,186
91,0500000US05001,"Arkansas County, Arkansas",36411,74.7,17149,177.5417202,7864,279,648,7046,418,93.2,41.5,40.4,15.5,15.8,74.8,78
92,0500000US05003,"Ashley County, Arkansas",34263,75.0,19062,133.9110169,7796,388,533,7177,381,92.2,38.9,40.8,20.3,12.3,73.9,21
93,0500000US05005,"Baxter County, Arkansas",35396,71.9,41627,701.9497908,16051,641,703,14127,719,94.8,38.5,43.0,16.2,17.9,72.4,147
94,0500000US05007,"Benton County, Arkansas",56239,73.0,284333,1229.684564,129785,6437,903,121512,2710,91.1,41.1,39.1,20.0,33.4,76.6,146
95,0500000US05009,"Boone County, Arkansas",39251,71.7,37373,1117.901408,16174,663,636,14613,715,93.1,40.1,41.2,20.0,16.1,77.0,56
96,0500000US05011,"Bradley County, Arkansas",33701,74.9,10545,155.47560980000003,4091,212,585,3640,313,89.0,40.4,42.5,22.1,14.3,81.3,21
97,0500000US05013,"Calhoun County, Arkansas",36899,74.7,4739,162.0928571,2111,182,640,1833,91,90.7,39.5,42.7,21.9,11.4,68.2,78
98,0500000US05015,"Carroll County, Arkansas",36897,71.9,28260,1303.132576,12013,496,610,10561,348,88.9,39.6,43.1,20.8,21.2,78.0,56
99,0500000US05017,"Chicot County, Arkansas",28913,74.9,10208,120.0189189,3282,148,601,2945,359,90.7,39.5,43.1,19.6,15.9,76.4,3
100,0500000US05019,"Clark County, Arkansas",35031,75.4,21446,292.747012,10575,3600,606,9343,182,91.5,36.6,34.8,20.8,26.6,39.9,21
101,0500000US05021,"Clay County, Arkansas",32552,72.6,14552,307.8404494,6391,248,618,5662,280,93.5,40.1,40.9,21.9,12.6,77.5,42
102,0500000US05023,"Cleburne County, Arkansas",42905,73.3,24711,645.2772643,10314,230,704,8963,386,91.8,39.8,42.5,27.2,15.5,86.3,54
103,0500000US05025,"Cleveland County, Arkansas",43158,75.1,7550,216.1128405,3061,153,630,2912,160,94.5,42.3,44.0,31.2,16.2,81.6,14
104,0500000US05027,"Columbia County, Arkansas",36619,75.0,22801,287.53907819999995,8944,2111,664,8338,903,92.9,36.8,36.1,17.2,19.6,54.5,78
105,0500000US05029,"Conway County, Arkansas",37732,74.9,20715,498.6561086,8927,540,647,8248,551,93.2,40.0,42.5,25.0,15.6,77.2,78
106,0500000US05031,"Craighead County, Arkansas",42475,73.4,111231,279.3315508,49761,6146,757,46474,2681,91.2,39.0,36.6,19.0,26.2,60.1,14
107,0500000US05033,"Crawford County, Arkansas",41268,75.7,60133,769.2333932,26041,1177,701,24087,1084,91.9,39.9,40.1,22.3,16.0,76.7,7
108,0500000US05035,"Crittenden County, Arkansas",38004,74.2,48163,212.8101093,20601,1093,732,18984,1751,91.6,40.5,39.0,20.3,17.4,73.7,78
109,0500000US05037,"Cross County, Arkansas",38103,73.8,16833,243.6976127,7622,358,711,6778,389,92.3,41.3,41.7,24.8,14.4,74.6,149
110,0500000US05039,"Dallas County, Arkansas",34084,74.8,6482,250.12,2952,220,673,2650,102,93.5,38.7,40.6,24.3,11.9,75.0,21
111,0500000US05041,"Desha County, Arkansas",27197,74.2,11395,146.0239044,4563,154,495,4001,299,93.7,40.6,41.8,17.4,14.1,82.5,3
112,0500000US05043,"Drew County, Arkansas",32819,74.6,17350,190.0551378,7919,1657,658,7056,315,94.5,37.8,39.7,21.5,22.8,57.1,21
113,0500000US05045,"Faulkner County, Arkansas",51223,74.8,123498,373.3448718,58112,10707,826,54927,1882,91.2,38.9,36.3,24.4,30.6,55.5,128
114,0500000US05047,"Franklin County, Arkansas",39285,75.0,17097,806.6335878,6681,306,625,6229,179,94.5,38.9,39.9,29.2,12.1,77.0,190
115,0500000US05049,"Fulton County, Arkansas",37066,72.0,12075,671.1142857000001,4077,173,545,3741,243,87.9,40.3,41.3,23.2,12.2,81.0,130
116,0500000US05051,"Garland County, Arkansas",38733,74.6,100180,616.0621762000002,41221,2062,771,37130,2147,89.5,38.7,41.7,22.0,21.6,72.9,78
117,0500000US05053,"Grant County, Arkansas",46171,75.1,17958,256.0915751,7760,318,736,7313,239,95.2,40.4,41.3,30.1,18.7,80.7,193
118,0500000US05055,"Greene County, Arkansas",41286,72.9,45736,309.17,18761,1165,698,17273,1225,92.3,40.1,38.8,20.9,16.2,72.1,14
119,0500000US05057,"Hempstead County, Arkansas",32122,75.0,20065,351.2340000000001,9218,222,694,8357,287,90.9,39.5,41.8,20.6,15.1,80.8,159
120,0500000US05059,"Hot Spring County, Arkansas",40000,75.4,33040,397.15404700000005,13127,737,619,12036,792,92.9,39.2,39.8,26.6,13.3,74.4,78
121,0500000US05061,"Howard County, Arkansas",34229,74.4,12785,541.3587444,5601,329,601,5073,349,91.4,39.1,40.6,20.6,13.6,74.8,21
122,0500000US05063,"Independence County, Arkansas",36265,72.8,37938,429.975,15902,1285,631,14517,740,91.3,38.4,39.4,18.2,17.5,68.8,149
123,0500000US05065,"Izard County, Arkansas",32630,72.1,13577,592.1257036000002,4725,223,570,4285,444,93.8,40.2,43.6,19.4,13.1,79.6,42
124,0500000US05067,"Jackson County, Arkansas",31261,73.2,16755,240.1502242,5542,234,588,4925,434,92.3,40.1,40.0,19.6,10.1,73.8,42
125,0500000US05069,"Jefferson County, Arkansas",36747,75.4,67260,224.4900315,26139,2752,740,23937,2442,93.2,39.0,40.4,20.1,18.0,66.9,78
126,0500000US05071,"Johnson County, Arkansas",34139,73.6,25749,871.6867030999998,10448,900,620,9694,337,88.9,38.7,39.9,18.9,15.4,74.9,147
127,0500000US05073,"Lafayette County, Arkansas",31194,75.7,6308,262.84541060000004,2511,99,473,2202,139,91.8,40.5,45.2,25.6,15.8,76.4,159
128,0500000US05075,"Lawrence County, Arkansas",32379,72.6,16216,302.300905,6600,627,549,5940,404,93.4,40.4,39.0,26.7,15.4,66.8,42
129,0500000US05077,"Lee County, Arkansas",28393,74.4,8600,201.4753747,2790,162,525,2443,380,92.8,40.8,42.7,21.1,10.7,81.5,3
130,0500000US05079,"Lincoln County, Arkansas",32580,75.0,12941,207.1801075,3209,146,534,2900,66,92.6,39.6,41.3,25.8,9.7,78.5,159
131,0500000US05081,"Little River County, Arkansas",36205,75.6,12026,326.3581662,4915,158,601,4520,515,93.8,39.9,41.5,27.0,12.5,78.0,78
132,0500000US05083,"Logan County, Arkansas",35325,75.3,21131,636.0525452,9059,432,581,8279,533,93.4,39.7,40.2,25.5,13.3,72.0,190
133,0500000US05085,"Lonoke County, Arkansas",53631,75.2,74015,253.7278107,32568,1476,796,30447,1155,92.4,40.4,39.4,28.0,20.6,75.4,128
134,0500000US05087,"Madison County, Arkansas",37691,71.7,16521,1589.808989,6674,264,615,6137,257,89.7,40.1,42.7,33.9,14.2,81.6,56
135,0500000US05089,"Marion County, Arkansas",34195,71.6,16826,755.7289047999999,5744,138,632,5143,252,94.3,39.8,44.5,21.6,17.1,82.6,147
136,0500000US05091,"Miller County, Arkansas",40317,76.1,42600,283.01785710000007,17792,755,737,16408,1150,90.6,39.1,40.5,19.9,16.8,76.9,185
137,0500000US05093,"Mississippi County, Arkansas",34612,73.7,40685,238.1284404,17365,569,632,15960,1383,92.6,40.4,39.1,18.3,13.8,77.2,21
138,0500000US05095,"Monroe County, Arkansas",27647,74.4,6799,174.6356589,2978,159,517,2604,177,91.1,40.6,44.8,23.6,12.7,73.4,3
139,0500000US05097,"Montgomery County, Arkansas",33037,74.3,8484,869.1622875,3262,81,509,2892,226,89.8,37.9,44.8,29.2,13.5,77.3,190
140,0500000US05099,"Nevada County, Arkansas",30691,74.7,8310,308.2757732,3204,41,696,2911,197,90.6,39.6,40.9,28.5,14.6,75.2,159
141,0500000US05101,"Newton County, Arkansas",34536,70.8,7225,1411.901493,2878,187,547,2581,100,95.0,36.4,44.4,30.7,20.5,71.2,147
142,0500000US05103,"Ouachita County, Arkansas",31293,74.4,22650,184.1147186,9487,524,525,8587,717,92.9,39.3,41.5,21.0,14.5,77.0,159
143,0500000US05105,"Perry County, Arkansas",42346,75.2,10019,459.5892421,3793,358,631,3403,189,94.9,38.3,41.8,35.4,12.7,73.0,54
144,0500000US05107,"Phillips County, Arkansas",26844,74.5,16568,189.24821430000003,6708,455,586,6009,707,91.6,40.2,41.4,16.7,13.8,71.8,3
145,0500000US05109,"Pike County, Arkansas",33097,74.7,10171,559.1135135,4609,173,601,4281,188,90.9,40.1,42.2,27.7,17.3,79.0,21
146,0500000US05111,"Poinsett County, Arkansas",33070,73.6,22965,234.877551,9802,466,603,8842,557,88.7,39.7,40.9,24.0,11.1,78.4,21
147,0500000US05113,"Polk County, Arkansas",33702,73.2,19221,1168.664794,7211,141,639,6589,665,89.5,39.4,41.5,23.4,14.1,80.2,147
148,0500000US05115,"Pope County, Arkansas",39810,73.7,63381,702.3208489,26754,5150,681,24723,1569,91.4,38.4,37.2,19.5,22.8,56.2,54
149,0500000US05117,"Prairie County, Arkansas",35833,74.8,8282,198.146789,3450,143,619,3152,167,92.2,41.7,44.5,27.1,15.4,81.5,21
150,0500000US05119,"Pulaski County, Arkansas",46140,75.2,399125,335.6972477,184202,10477,861,168937,8147,92.1,39.3,38.9,20.4,34.3,66.6,110
151,0500000US05121,"Randolph County, Arkansas",34044,72.3,18571,359.2394822,6976,307,619,6390,229,92.7,40.5,38.9,25.9,13.8,81.7,42
152,0500000US05125,"Saline County, Arkansas",55817,74.9,123416,441.9365782,57691,2532,847,52780,1927,94.0,39.8,40.4,25.8,26.7,72.7,128
153,0500000US05127,"Scott County, Arkansas",37321,74.7,9836,800.3943925,3758,74,564,3236,280,90.0,39.1,39.5,24.8,9.3,81.2,190
154,0500000US05129,"Searcy County, Arkansas",33083,70.7,7828,1028.263551,3097,81,535,2759,120,93.5,37.7,42.0,27.0,11.9,79.1,147
155,0500000US05131,"Sebastian County, Arkansas",38575,76.3,127799,534.9053876,57296,4235,696,52937,2258,89.6,39.3,39.0,19.0,21.3,70.8,78
156,0500000US05133,"Sevier County, Arkansas",36579,75.0,15839,423.469914,7338,333,581,6695,401,83.2,39.3,42.0,26.4,12.8,78.6,78
157,0500000US05135,"Sharp County, Arkansas",30691,71.9,17271,510.5941423,5957,178,527,5217,234,93.7,39.6,41.3,22.2,10.2,85.0,42
158,0500000US05137,"Stone County, Arkansas",29264,72.0,12359,787.7336683,4526,173,604,4005,265,92.4,36.1,41.4,22.8,13.9,80.7,42
159,0500000US05139,"Union County, Arkansas",38678,75.0,39054,189.036855,15590,954,674,14408,748,92.5,39.4,41.8,19.6,21.1,74.3,78
160,0500000US05141,"Van Buren County, Arkansas",32312,72.4,15796,919.0878244,5670,211,644,5123,366,90.4,39.1,42.6,30.2,14.5,83.0,147
161,0500000US05143,"Washington County, Arkansas",43524,73.4,245871,1352.307933,111363,20553,794,103814,4722,88.4,38.2,36.5,21.2,33.3,55.6,171
162,0500000US05145,"White County, Arkansas",42554,74.2,76822,320.466031,32213,5252,702,30078,1690,91.7,39.2,38.3,24.5,20.9,63.6,14
163,0500000US05147,"Woodruff County, Arkansas",28993,73.9,6269,200.1729107,2653,138,504,2318,216,94.0,42.4,42.3,18.9,14.0,81.5,3
164,0500000US05149,"Yell County, Arkansas",37804,75.2,20263,531.6703755,9103,414,573,8301,309,92.1,40.7,40.6,20.9,12.8,77.9,78
165,0500000US06001,"Alameda County, California",75619,69.6,1682353,230.0695971,862449,78328,1797,809187,37690,95.6,38.3,39.6,34.3,47.4,59.5,18
166,0500000US06003,"Alpine County, California",52917,58.4,1204,7322.688612000001,343,26,538,271,49,91.1,34.5,40.8,18.1,34.5,72.0,77
167,0500000US06005,"Amador County, California",54171,72.9,40474,2222.938111,13665,623,1103,12035,907,95.3,38.5,43.7,32.7,19.3,69.6,20
168,0500000US06007,"Butte County, California",43444,73.9,211632,1476.858728,96095,19091,1060,88799,7569,93.8,36.2,36.6,20.9,27.2,51.1,171
169,0500000US06009,"Calaveras County, California",53233,73.4,45292,2055.565338,17223,976,1339,15277,1080,95.6,38.3,45.8,38.3,18.3,73.1,20
170,0500000US06011,"Colusa County, California",52168,75.4,21839,1180.56203,9692,644,889,8871,398,90.2,43.3,39.7,25.7,15.0,75.2,196
171,0500000US06013,"Contra Costa County, California",80185,71.2,1165927,271.1313187,559366,43518,1819,516144,27745,94.9,38.1,41.8,38.7,42.4,66.9,140
172,0500000US06015,"Del Norte County, California",40847,63.1,27743,1411.018576,9015,440,878,8083,688,93.5,36.7,40.3,14.5,14.8,79.1,1
173,0500000US06017,"El Dorado County, California",69584,68.5,191185,3829.110383,85101,5307,1260,76907,4423,95.4,37.6,44.3,30.0,34.3,70.9,53
174,0500000US06019,"Fresno County, California",45233,69.7,1008654,3515.2384880000004,407511,42792,998,382254,34824,91.7,38.1,37.9,23.1,21.2,69.8,109
175,0500000US06021,"Glenn County, California",39349,74.5,28917,1892.409006,11279,828,835,10256,526,91.4,40.1,38.8,22.2,14.2,79.4,40
176,0500000US06023,"Humboldt County, California",42197,65.0,136463,1096.902526,62030,9232,981,56601,4338,91.8,35.8,37.7,18.7,30.4,53.8,28
177,0500000US06025,"Imperial County, California",41079,88.8,179702,53.21650718,60074,7873,830,56991,9286,92.0,37.6,39.2,22.1,15.2,70.3,186
178,0500000US06027,"Inyo County, California",45955,76.5,19016,5660.407821,8238,340,919,7636,283,94.2,37.5,44.2,16.5,27.2,78.1,125
