,county,median_income,temp,total_population,elev_in_ft
53,"Pike County, Alabama",32825,74.6,33009,441.6422155688623
54,"Randolph County, Alabama",36924,71.3,21967,934.5827702702704
55,"Russell County, Alabama",37049,73.7,59183,338.27941176470586
56,"Shelby County, Alabama",70187,73.1,223024,532.5704641350211
57,"Sumter County, Alabama",19501,74.4,12345,172.37273991655076
58,"Talladega County, Alabama",35155,72.9,82149,577.5787037037037
59,"Tallapoosa County, Alabama",39206,72.5,41311,647.1246153846154
60,"Tuscaloosa County, Alabama",46565,73.4,227036,299.6422101449276
61,"Walker County, Alabama",35843,72.4,65342,435.9769230769231
62,"Washington County, Alabama",42811,75.6,15388,129.35686274509803
63,"Wilcox County, Alabama",23750,75.9,10600,173.7063621533442
64,"Winston County, Alabama",33194,71.0,23540,745.001261034048
65,"Aleutians East Borough, Alaska",61518,47.5,3420,265.80441988950275
66,"Bristol Bay Borough, Alaska",79750,43.7,844,46.94285714285714
67,"Fairbanks North Star Borough, Alaska",71068,39.2,95655,893.3684210526316
68,"Haines Borough, Alaska",58750,43.6,2080,1627.888475836431
69,"Kenai Peninsula Borough, Alaska",63684,40.8,58799,720.2260783341596
70,"Ketchikan Gateway Borough, Alaska",64222,48.4,13948,-626.9504405286343
71,"Kodiak Island Borough, Alaska",70887,45.3,13101,261.5551839464883
72,"Lake and Peninsula Borough, Alaska",50781,43.2,1476,604.6168674698795
73,"Matanuska-Susitna Borough, Alaska",72983,37.9,107081,1503.5344108446295
74,"North Slope Borough, Alaska",72576,32.2,11031,1074.8597807270628
75,"Northwest Arctic Borough, Alaska",63648,36.8,7793,546.2221180880974
76,"Apache County, Arizona",31757,65.2,66021,7288.956646477526
77,"Cochise County, Arizona",45075,72.3,125447,5037.492587886489
78,"Coconino County, Arizona",50234,68.3,145101,6306.798913820208
79,"Gila County, Arizona",39751,73.1,53272,4451.5418123151385
80,"Graham County, Arizona",45964,73.4,38533,4525.688318227593
81,"Greenlee County, Arizona",51628,69.0,9563,5706.597949271451
82,"La Paz County, Arizona",34466,86.7,16557,1332.17921686747
83,"Maricopa County, Arizona",54229,84.7,4420568,1518.5205785667324
84,"Mohave County, Arizona",38488,77.8,213267,3458.5126856435645
85,"Navajo County, Arizona",35921,67.3,106717,6131.229892992751
86,"Pima County, Arizona",46162,80.5,1043433,3167.8398559423767
87,"Pinal County, Arizona",49477,81.9,425264,2568.089784699954
88,"Santa Cruz County, Arizona",40140,71.7,47669,4553.932692307692
89,"Yavapai County, Arizona",44748,73.5,236209,4622.667745620716
90,"Yuma County, Arizona",40743,87.7,203881,705.2193347193347
91,"Arkansas County, Arkansas",36411,74.7,17149,177.54172015404365
92,"Ashley County, Arkansas",34263,75.0,19062,133.91101694915255
93,"Baxter County, Arkansas",35396,71.9,41627,701.9497907949791
94,"Benton County, Arkansas",56239,73.0,284333,1229.6845637583892
95,"Boone County, Arkansas",39251,71.7,37373,1117.901408450704
96,"Bradley County, Arkansas",33701,74.9,10545,155.47560975609755
97,"Calhoun County, Arkansas",36899,74.7,4739,162.09285714285716
98,"Carroll County, Arkansas",36897,71.9,28260,1303.1325757575758
99,"Chicot County, Arkansas",28913,74.9,10208,120.01891891891891
100,"Clark County, Arkansas",35031,75.4,21446,292.74701195219126
101,"Clay County, Arkansas",32552,72.6,14552,307.84044943820226
102,"Cleburne County, Arkansas",42905,73.3,24711,645.2772643253235
103,"Cleveland County, Arkansas",43158,75.1,7550,216.1128404669261
104,"Columbia County, Arkansas",36619,75.0,22801,287.5390781563126
105,"Conway County, Arkansas",37732,74.9,20715,498.6561085972851
106,"Craighead County, Arkansas",42475,73.4,111231,279.331550802139
107,"Crawford County, Arkansas",41268,75.7,60133,769.2333931777379
108,"Crittenden County, Arkansas",38004,74.2,48163,212.8101092896175
109,"Cross County, Arkansas",38103,73.8,16833,243.69761273209548
110,"Dallas County, Arkansas",34084,74.8,6482,250.12
111,"Desha County, Arkansas",27197,74.2,11395,146.0239043824701
112,"Drew County, Arkansas",32819,74.6,17350,190.05513784461152
113,"Faulkner County, Arkansas",51223,74.8,123498,373.3448717948718
114,"Franklin County, Arkansas",39285,75.0,17097,806.6335877862596
115,"Fulton County, Arkansas",37066,72.0,12075,671.1142857142858
116,"Garland County, Arkansas",38733,74.6,100180,616.0621761658031
117,"Grant County, Arkansas",46171,75.1,17958,256.09157509157507
118,"Greene County, Arkansas",41286,72.9,45736,309.17
119,"Hempstead County, Arkansas",32122,75.0,20065,351.234
120,"Hot Spring County, Arkansas",40000,75.4,33040,397.15404699738906
121,"Howard County, Arkansas",34229,74.4,12785,541.3587443946188
122,"Independence County, Arkansas",36265,72.8,37938,429.975
123,"Izard County, Arkansas",32630,72.1,13577,592.1257035647279
124,"Jackson County, Arkansas",31261,73.2,16755,240.15022421524665
125,"Jefferson County, Arkansas",36747,75.4,67260,224.4900314795383
126,"Johnson County, Arkansas",34139,73.6,25749,871.6867030965392
127,"Lafayette County, Arkansas",31194,75.7,6308,262.8454106280193
128,"Lawrence County, Arkansas",32379,72.6,16216,302.3009049773756
129,"Lee County, Arkansas",28393,74.4,8600,201.47537473233405
130,"Lincoln County, Arkansas",32580,75.0,12941,207.18010752688173
131,"Little River County, Arkansas",36205,75.6,12026,326.3581661891117
132,"Logan County, Arkansas",35325,75.3,21131,636.0525451559935
133,"Lonoke County, Arkansas",53631,75.2,74015,253.7278106508876
134,"Madison County, Arkansas",37691,71.7,16521,1589.808988764045
135,"Marion County, Arkansas",34195,71.6,16826,755.7289048473967
136,"Miller County, Arkansas",40317,76.1,42600,283.0178571428572
137,"Mississippi County, Arkansas",34612,73.7,40685,238.12844036697248
138,"Monroe County, Arkansas",27647,74.4,6799,174.63565891472868
139,"Montgomery County, Arkansas",33037,74.3,8484,869.1622874806801
140,"Nevada County, Arkansas",30691,74.7,8310,308.2757731958763
141,"Newton County, Arkansas",34536,70.8,7225,1411.9014925373135
142,"Ouachita County, Arkansas",31293,74.4,22650,184.1147186147186
143,"Perry County, Arkansas",42346,75.2,10019,459.58924205378975
144,"Phillips County, Arkansas",26844,74.5,16568,189.24821428571428
145,"Pike County, Arkansas",33097,74.7,10171,559.1135135135136
146,"Poinsett County, Arkansas",33070,73.6,22965,234.87755102040816
147,"Polk County, Arkansas",33702,73.2,19221,1168.6647940074906
148,"Pope County, Arkansas",39810,73.7,63381,702.3208489388264
149,"Prairie County, Arkansas",35833,74.8,8282,198.14678899082568
150,"Pulaski County, Arkansas",46140,75.2,399125,335.697247706422
151,"Randolph County, Arkansas",34044,72.3,18571,359.2394822006473
152,"Saline County, Arkansas",55817,74.9,123416,441.9365781710914
153,"Scott County, Arkansas",37321,74.7,9836,800.3943925233644
154,"Searcy County, Arkansas",33083,70.7,7828,1028.263551401869
155,"Sebastian County, Arkansas",38575,76.3,127799,534.9053876478318
156,"Sevier County, Arkansas",36579,75.0,15839,423.4699140401146
157,"Sharp County, Arkansas",30691,71.9,17271,510.59414225941424
158,"Stone County, Arkansas",29264,72.0,12359,787.7336683417085
159,"Union County, Arkansas",38678,75.0,39054,189.03685503685503
160,"Van Buren County, Arkansas",32312,72.4,15796,919.0878243512974
161,"Washington County, Arkansas",43524,73.4,245871,1352.3079331941544
162,"White County, Arkansas",42554,74.2,76822,320.4660309892729
163,"Woodruff County, Arkansas",28993,73.9,6269,200.1729106628242
164,"Yell County, Arkansas",37804,75.2,20263,531.6703755215577
165,"Alameda County, California",75619,69.6,1682353,230.06959706959708
166,"Alpine County, California",52917,58.4,1204,7322.688612099644
167,"Amador County, California",54171,72.9,40474,2222.938110749186
168,"Butte County, California",43444,73.9,211632,1476.8587278106509
169,"Calaveras County, California",53233,73.4,45292,2055.5653382761816
170,"Colusa County, California",52168,75.4,21839,1180.562030075188
171,"Contra Costa County, California",80185,71.2,1165927,271.1313186813187
172,"Del Norte County, California",40847,63.1,27743,1411.0185758513933
173,"El Dorado County, California",69584,68.5,191185,3829.110383064516
174,"Fresno County, California",45233,69.7,1008654,3515.2384884884887
175,"Glenn County, California",39349,74.5,28917,1892.409005628518
176,"Humboldt County, California",42197,65.0,136463,1096.9025257915332
177,"Imperial County, California",41079,88.8,179702,53.21650717703349
178,"Inyo County, California",45955,76.5,19016,5660.407821229051
179,"Kern County, California",49026,75.8,909235,2190.298396334478
180,"Kings County, California",46481,77.2,152486,450.0027247956404
181,"Lake County, California",35578,71.1,68163,2115.777590564448
182,"Lassen County, California",51555,60.9,32730,5316.93487109905
183,"Los Angeles County, California",56196,73.0,10014009,871.8227607507722
184,"Madera County, California",45073,70.8,156255,3674.346645367412
185,"Marin County, California",93257,64.0,262321,275.1559633027523
186,"Mariposa County, California",47681,70.3,17131,3686.763862332696
187,"Mendocino County, California",42980,68.1,91601,1323.2225693088635
188,"Merced County, California",42462,75.3,281202,261.10122164048863
189,"Modoc County, California",37860,60.0,8700,5017.385185185185
190,"Mono County, California",56944,58.9,13195,8096.095
191,"Monterey County, California",58783,69.8,439035,770.2163034705408
192,"Napa County, California",71379,71.1,138019,641.9765625
193,"Nevada County, California",56521,66.3,102241,3956.41581027668
194,"Orange County, California",76509,73.3,3186989,259.5878826128116
195,"Placer County, California",73948,67.8,404739,3455.907514450867
196,"Plumas County, California",47333,61.7,19790,4794.97713950762
197,"Riverside County, California",56603,82.5,2418185,1687.0918878317475
198,"Sacramento County, California",55987,74.9,1585055,76.11311154598826
199,"San Benito County, California",71077,71.6,64209,1630.9064856711916
200,"San Bernardino County, California",53433,81.8,2181654,2870.441209198813
201,"San Diego County, California",64309,74.4,3298634,1014.1508176862508
202,"San Francisco County, California",81294,64.1,873965,167.1988188976378
203,"San Joaquin County, California",53274,74.5,779233,77.65934065934066
204,"San Luis Obispo County, California",60691,71.1,282424,885.3661602933473
205,"San Mateo County, California",93623,64.6,764442,256.75235980011104
206,"Santa Barbara County, California",63985,68.1,448229,943.0191602119852
207,"Santa Clara County, California",96310,69.6,1936259,449.25554830287206
208,"Santa Cruz County, California",67256,65.8,270861,416.8501291989664
209,"Shasta County, California",44620,69.2,182155,2567.256462035541
210,"Sierra County, California",42833,61.3,3236,5042.648822269807
211,"Siskiyou County, California",37170,62.1,44076,3855.629713637653
212,"Solano County, California",66828,72.2,453491,101.7316538882804
213,"Sonoma County, California",64240,66.9,488863,434.14192495921696
214,"Stanislaus County, California",50125,74.5,552878,264.1984469370147
215,"Sutter County, California",52017,76.0,99633,111.4156976744186
216,"Tehama County, California",41001,72.8,65829,2430.8116438356165
217,"Trinity County, California",34974,66.2,16112,3442.0267498885423
218,"Tulare County, California",42031,68.3,473117,3736.9908346972175
219,"Tuolumne County, California",50306,64.8,55620,4677.923031026253
220,"Ventura County, California",77348,68.1,843843,1277.5783340526543
221,"Yolo County, California",54989,74.6,216403,274.7158931082982
222,"Yuba County, California",46892,74.2,81575,1165.950738916256
223,"Adams County, Colorado",58946,67.3,519572,5262.011198208286
224,"Alamosa County, Colorado",32395,59.6,16376,8181.570552147239
225,"Arapahoe County, Colorado",63265,66.8,655070,5529.314507198228
226,"Archuleta County, Colorado",46646,59.4,13359,7987.860869565217
227,"Baca County, Colorado",38000,71.2,3506,4363.004739336493
228,"Bent County, Colorado",36791,71.8,5650,4035.082304526749
229,"Boulder County, Colorado",70961,60.4,330758,7094.267391304348
230,"Chaffee County, Colorado",51092,53.6,19476,9679.553086419754
231,"Cheyenne County, Colorado",52554,70.2,1748,4313.232558139535
232,"Clear Creek County, Colorado",67710,53.1,9397,9255.859846244826
233,"Conejos County, Colorado",36652,56.3,7461,8893.978764478765
234,"Costilla County, Colorado",31321,57.9,3499,8916.978723404256
235,"Crowley County, Colorado",31151,70.2,5922,4430.865671641791
236,"Custer County, Colorado",35000,56.9,4704,8957.460721868365
237,"Delta County, Colorado",42452,62.6,31196,7679.777070063694
238,"Denver County, Colorado",53637,67.1,715522,5335.680227827502
239,"Dolores County, Colorado",31875,58.1,2326,8679.172081829121
240,"Douglas County, Colorado",102964,63.1,357978,6484.828368794326
241,"Eagle County, Colorado",72214,55.5,55731,8705.511004784688
242,"Elbert County, Colorado",84963,65.2,26062,6210.159090909091
243,"El Paso County, Colorado",58206,64.9,730395,6857.097306689835
244,"Fremont County, Colorado",40423,61.5,48939,6950.500574052813
245,"Garfield County, Colorado",56590,59.8,61685,7638.157063930545
246,"Gilpin County, Colorado",65670,55.3,5808,9109.260869565218
247,"Grand County, Colorado",63628,53.1,15717,9098.539179104477
248,"Gunnison County, Colorado",48071,54.4,16918,9303.766995932598
249,"Hinsdale County, Colorado",57083,51.4,788,10157.138989169674
250,"Huerfano County, Colorado",31715,62.6,6820,7261.645333333333
251,"Jackson County, Colorado",46014,52.7,1379,8641.156637168142
252,"Jefferson County, Colorado",70164,61.7,582910,6192.813389562467
253,"Kiowa County, Colorado",40304,70.6,1446,4114.175824175824
254,"Kit Carson County, Colorado",40603,70.0,7087,4335.5
255,"Lake County, Colorado",45367,50.0,7436,10793.826224328594
256,"La Plata County, Colorado",60278,60.4,55638,8219.596170583116
257,"Larimer County, Colorado",59805,58.6,359066,7487.986943907156
258,"Las Animas County, Colorado",45067,67.7,14555,6293.748895434463
259,"Lincoln County, Colorado",39005,67.9,5675,5126.011299435028
260,"Logan County, Colorado",42319,68.0,21528,4067.560283687944
261,"Mesa County, Colorado",49322,63.7,155703,7023.474116161616
262,"Mineral County, Colorado",48125,51.8,865,9822.83777777778
263,"Moffat County, Colorado",51387,60.4,13292,6609.329214474846
264,"Montezuma County, Colorado",43553,63.8,25849,7464.352637021717
265,"Montrose County, Colorado",43999,63.1,42679,6667.333098591549
266,"Morgan County, Colorado",48450,68.0,29111,4438.536231884058
267,"Otero County, Colorado",32311,71.4,18690,4350.2108108108105
268,"Ouray County, Colorado",61624,56.8,4874,9509.922641509434
269,"Park County, Colorado",56969,53.8,17390,9833.376717865804
270,"Phillips County, Colorado",43639,69.0,4530,3849.0
271,"Pitkin County, Colorado",71196,53.6,17358,9483.432960893855
272,"Prowers County, Colorado",40179,71.5,11999,3687.014492753623
273,"Pueblo County, Colorado",41286,69.0,168162,5261.029985007496
274,"Rio Blanco County, Colorado",61842,60.6,6529,7145.551189245088
275,"Rio Grande County, Colorado",39672,55.7,11539,8944.645476772615
276,"Routt County, Colorado",64963,56.0,24829,7995.446339017051
277,"Saguache County, Colorado",33393,55.5,6368,9341.739809193408
278,"San Juan County, Colorado",36324,49.7,705,11406.060031595576
279,"San Miguel County, Colorado",56047,59.8,8072,8270.04827586207
280,"Sedgwick County, Colorado",44191,68.6,2404,3658.985294117647
281,"Summit County, Colorado",67983,51.5,31055,10431.0
282,"Teller County, Colorado",62372,55.9,24710,9637.923619271443
283,"Washington County, Colorado",45541,69.0,4817,4544.0344827586205
284,"Weld County, Colorado",60572,66.2,328981,4952.787101787102
285,"Yuma County, Colorado",43105,70.1,9988,3856.056872037914
286,"Fairfield County, Connecticut",84233,67.5,957419,233.0925595238095
287,"Hartford County, Connecticut",66395,65.6,899498,211.02577975811585
288,"Litchfield County, Connecticut",72061,63.2,185186,811.3123138033764
289,"Middlesex County, Connecticut",79893,66.3,164245,159.72365666434055
290,"New Haven County, Connecticut",61640,66.8,864835,183.3291064582719
291,"New London County, Connecticut",66233,66.2,268555,144.78775167785236
292,"Tolland County, Connecticut",79626,64.3,149788,530.9315707620528
293,"Windham County, Connecticut",59392,64.4,116418,423.2046178343949
294,"Kent County, Delaware",54976,70.9,181851,32.87239165329053
295,"New Castle County, Delaware",65476,70.2,570719,127.53277606687196
296,"Sussex County, Delaware",53751,71.4,237378,20.34170854271357
297,"Alachua County, Florida",43073,79.6,278468,117.95397111913356
298,"Baker County, Florida",47121,77.8,28259,125.86559139784946
299,"Bay County, Florida",47368,78.0,175216,24.23127035830619
300,"Bradford County, Florida",41606,78.9,28303,144.78571428571428
301,"Brevard County, Florida",48925,80.7,606612,15.052205882352942
302,"Broward County, Florida",51968,81.8,1944375,7.853078358208955
303,"Calhoun County, Florida",34510,77.4,13648,81.85126582278481
304,"Charlotte County, Florida",44244,82.0,186847,7.897155361050328
305,"Citrus County, Florida",38312,80.7,153843,37.78521126760563
306,"Clay County, Florida",58290,79.0,218245,58.01535508637236
307,"Collier County, Florida",57452,82.1,375752,8.554631828978623
308,"Columbia County, Florida",41926,78.1,69698,129.9019138755981
309,"Dixie County, Florida",36292,79.2,16759,19.241666666666667
310,"Duval County, Florida",47690,78.7,995567,21.779078844652616
311,"Escambia County, Florida",45390,77.0,321905,71.40118343195266
312,"Flagler County, Florida",47866,80.0,115378,15.754189944134078
313,"Franklin County, Florida",40401,77.9,12451,5.591715976331361
314,"Gadsden County, Florida",35567,76.9,43826,196.42241379310343
315,"Gilchrist County, Florida",40623,79.3,17864,58.17613636363637
316,"Glades County, Florida",34877,80.8,12126,20.87248322147651
317,"Gulf County, Florida",41788,77.7,14192,16.89075630252101
318,"Hamilton County, Florida",35048,77.4,14004,117.4054054054054
319,"Hardee County, Florida",35457,81.2,25327,83.04347826086956
320,"Hendry County, Florida",36771,81.2,39619,19.335
321,"Hernando County, Florida",40945,80.8,194515,70.92183908045978
322,"Highlands County, Florida",35093,80.8,101235,102.79418886198548
323,"Hillsborough County, Florida",50579,81.8,1459762,46.88781601123596
324,"Holmes County, Florida",35020,76.8,19653,115.65986394557824
325,"Indian River County, Florida",45798,80.3,159788,12.89125295508274
326,"Jackson County, Florida",35098,77.0,47319,124.80385852090032
327,"Jefferson County, Florida",43355,77.4,14510,107.98606271777004
328,"Lafayette County, Florida",35864,78.3,8226,61.61052631578947
329,"Lake County, Florida",46403,81.2,383956,88.15653298835706
330,"Lee County, Florida",48537,82.6,760822,8.84718923198733
331,"Leon County, Florida",46745,77.3,292198,122.57615894039736
332,"Levy County, Florida",35782,80.0,42915,28.00674536256324
333,"Liberty County, Florida",39406,77.4,7974,61.061797752808985
334,"Madison County, Florida",32164,77.4,17968,113.75601374570446
335,"Manatee County, Florida",49675,81.3,399710,21.07705779334501
336,"Marion County, Florida",39459,80.3,375908,77.17306441119064
337,"Martin County, Florida",51593,80.8,158431,13.175342465753424
338,"Miami-Dade County, Florida",43129,82.1,2701767,6.431319255697261
339,"Monroe County, Florida",57290,82.6,82874,1.533029612756264
340,"Nassau County, Florida",54116,77.7,90352,23.04428044280443
341,"Okaloosa County, Florida",55880,77.0,211668,90.45839874411304
342,"Okeechobee County, Florida",35405,80.5,39644,35.51141552511415
343,"Orange County, Florida",47943,81.5,1429908,92.17084188911704
344,"Osceola County, Florida",44254,81.3,388656,67.80776340110906
345,"Palm Beach County, Florida",53363,81.2,1492191,13.7008069522036
346,"Pasco County, Florida",45064,81.2,561891,56.05743740795288
347,"Pinellas County, Florida",45819,82.2,959107,21.16267409470752
348,"Polk County, Florida",43162,81.6,725046,136.45257611241215
349,"Putnam County, Florida",31715,79.8,73321,51.362989323843415
350,"Santa Rosa County, Florida",58923,76.4,188000,76.61945636623749
351,"Sarasota County, Florida",51766,81.4,434006,16.196936542669583
352,"Seminole County, Florida",57010,81.2,470856,50.108870967741936
353,"Sumter County, Florida",50350,80.9,129752,70.53587443946188
354,"Suwannee County, Florida",36289,78.1,43474,90.92485549132948
355,"Taylor County, Florida",36181,78.4,21796,26.632716049382715
356,"Union County, Florida",39163,78.7,16147,124.8706896551724
357,"Volusia County, Florida",41117,80.5,553543,26.36829699469652
358,"Wakulla County, Florida",50340,77.9,33764,15.528150134048255
359,"Walton County, Florida",44966,77.1,75305,103.64065040650408
360,"Washington County, Florida",38970,77.0,25318,82.99134948096886
361,"Appling County, Georgia",37135,76.0,18444,178.86821705426357
362,"Atkinson County, Georgia",30933,75.8,8286,198.6412213740458
363,"Bacon County, Georgia",37162,76.0,11140,183.6518987341772
364,"Baker County, Georgia",44297,76.2,2876,163.88888888888889
365,"Baldwin County, Georgia",32460,73.7,43799,371.2843137254902
366,"Banks County, Georgia",41472,70.9,18035,853.0
367,"Barrow County, Georgia",52012,71.2,83505,903.7242990654206
368,"Bartow County, Georgia",48893,70.6,108901,834.077743902439
369,"Ben Hill County, Georgia",29994,75.3,17194,302.35483870967744
370,"Berrien County, Georgia",31835,75.6,18160,241.1659192825112
371,"Bibb County, Georgia",36519,74.4,157346,404.9950331125828
372,"Bleckley County, Georgia",38991,74.9,12583,333.50993377483445
373,"Brantley County, Georgia",37206,76.1,18021,59.40794223826715
374,"Brooks County, Georgia",32663,76.2,16301,188.40390879478824
375,"Bryan County, Georgia",63327,76.1,44738,47.2948717948718
376,"Bulloch County, Georgia",36032,75.6,81099,175.26392961876832
377,"Burke County, Georgia",33641,74.8,24596,239.60611205432937
378,"Butts County, Georgia",41667,72.4,25434,627.2619047619048
379,"Calhoun County, Georgia",25513,75.8,5573,250.14193548387087
380,"Camden County, Georgia",52473,77.1,54768,13.561576354679802
381,"Candler County, Georgia",30185,75.6,10981,202.69945355191257
382,"Carroll County, Georgia",43586,71.0,119148,1073.2787318361954
383,"Catoosa County, Georgia",50876,70.9,67872,791.0228571428571
384,"Charlton County, Georgia",42778,76.9,12518,85.82477341389728
385,"Chatham County, Georgia",47218,76.2,295291,17.153616703952274
386,"Chattahoochee County, Georgia",43378,73.6,9565,379.1279069767442
387,"Chattooga County, Georgia",32913,69.9,24965,777.4164133738602
388,"Cherokee County, Georgia",68926,69.9,266620,1036.915014164306
389,"Clarke County, Georgia",32162,72.0,128671,705.9765957446808
390,"Clay County, Georgia",20438,75.2,2848,286.3181818181818
391,"Clayton County, Georgia",40938,71.9,297595,891.283950617284
392,"Clinch County, Georgia",24015,76.4,6749,150.40167364016736
393,"Cobb County, Georgia",65873,71.1,766149,1009.4407008086254
394,"Coffee County, Georgia",33965,75.5,43092,233.14736842105265
395,"Colquitt County, Georgia",32409,75.6,45898,292.0309278350516
396,"Columbia County, Georgia",71021,74.1,156010,371.0938864628821
397,"Cook County, Georgia",35683,75.7,17229,227.6685393258427
398,"Coweta County, Georgia",62461,72.0,146158,864.1253822629969
399,"Crawford County, Georgia",41825,74.0,12130,481.8841201716738
400,"Crisp County, Georgia",31615,75.2,20128,330.26160337552744
401,"Dade County, Georgia",46434,69.6,16251,1173.061224489796
402,"Dawson County, Georgia",56943,68.3,26798,1455.0394736842106
403,"Decatur County, Georgia",31284,76.6,29367,161.72062663185378
404,"Dodge County, Georgia",34271,75.1,19925,298.79335793357933
405,"Dooly County, Georgia",28696,75.0,11208,351.544061302682
406,"Dougherty County, Georgia",32084,76.5,85790,200.64625850340136
407,"Douglas County, Georgia",53881,71.3,144237,1028.0379241516966
408,"Early County, Georgia",31680,76.1,10854,212.52507374631267
409,"Echols County, Georgia",32959,76.8,3697,132.9902912621359
410,"Effingham County, Georgia",63100,75.5,64769,62.96706586826348
411,"Elbert County, Georgia",35388,73.3,19637,586.3566878980891
412,"Emanuel County, Georgia",32229,75.2,22768,256.29339853300735
413,"Evans County, Georgia",37865,76.0,10774,152.18340611353713
414,"Fannin County, Georgia",37049,66.1,25319,2073.566929133858
415,"Fayette County, Georgia",79066,72.1,119194,868.8516020236087
416,"Floyd County, Georgia",41549,70.4,98584,683.5216852540273
417,"Forsyth County, Georgia",88816,69.7,251283,1156.8030690537084
418,"Franklin County, Georgia",33816,71.4,23424,763.9285714285714
419,"Fulton County, Georgia",57207,71.4,1066710,967.9274024339068
420,"Gilmer County, Georgia",40228,66.8,31353,1824.2285714285715
421,"Glascock County, Georgia",40759,73.5,2884,436.1732283464567
422,"Glynn County, Georgia",45918,76.7,84499,11.967123287671232
423,"Gordon County, Georgia",41612,70.5,57544,703.8780487804878
424,"Grady County, Georgia",34187,76.2,26236,246.3217391304348
425,"Greene County, Georgia",42408,72.9,18915,589.0526315789474
426,"Gwinnett County, Georgia",60289,70.8,957062,1000.3977635782747
427,"Habersham County, Georgia",40907,68.2,46031,1501.763948497854
428,"Hall County, Georgia",51202,70.0,203136,1164.3196622436672
429,"Hancock County, Georgia",24925,73.1,8735,501.206043956044
430,"Haralson County, Georgia",41910,69.9,29919,1158.038596491228
431,"Harris County, Georgia",63824,72.4,34668,709.997722095672
432,"Hart County, Georgia",37653,71.8,25828,761.9928825622776
433,"Heard County, Georgia",41525,71.9,11412,853.8313609467456
434,"Henry County, Georgia",60424,72.0,240712,795.2353951890034
435,"Houston County, Georgia",53270,74.9,163633,367.2956730769231
436,"Irwin County, Georgia",34156,75.3,9666,311.4514106583072
437,"Jackson County, Georgia",53379,71.3,75907,822.7542579075425
